legacy_id,legacy_phase,legacy_title,planning_assessment,new_task_ids,note
T0001,P0,初始化 Monorepo 与工具链,PRIOR_ACCEPTED_WITH_RECORDED_SCOPE,"[""P2W-S1-01"", ""P2W-S4-10""]",保留此前收窄范围及已有验收；本计划不重验其历史模型运行，也不把原型能力倒填到旧报告。
T0002,P0,建立 CI 与质量门禁,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S1-02""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0003,P0,配置与秘密管理,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S4-01""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0004,P0,作业状态机,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S4-01"", ""P2W-S4-03""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0005,P0,作业目录与资产存储,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S4-01"", ""P2W-S4-02"", ""P2W-S4-03"", ""P2W-S4-06""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0006,P0,定义引擎 Adapter 协议,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S1-01"", ""P2W-S2-01"", ""P2W-S4-01""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0007,P0,实现 Layout IR 1.1 域模型,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S3-01"", ""P2W-S4-01""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0008,P0,候选、来源与证据模型,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S2-03"", ""P2W-S2-06"", ""P2W-S3-01"", ""P2W-S4-02""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0009,P0,错误码与 Issue 分类,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S2-02"", ""P2W-S4-01""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0010,P0,模型网关客户端骨架,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S4-05""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0011,P0,CLI 与本地 API 骨架,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S2-04"", ""P2W-S4-01"", ""P2W-S4-03""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0012,P0,黄金测试框架,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S1-02"", ""P2W-S1-03"", ""P2W-S1-04"", ""P2W-S1-06""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0013,P0,日志与指标基础,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S1-02"", ""P2W-S4-01""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0014,P0,模型部署基线与架构文档对齐,PRIOR_ACCEPTED_WITH_RECORDED_SCOPE,"[""P2W-S1-01""]",保留此前收窄范围及已有验收；本计划不重验其历史模型运行，也不把原型能力倒填到旧报告。
T0015,P0,服务契约发现,PRIOR_ACCEPTED_WITH_RECORDED_SCOPE,"[""P2W-S1-01""]",保留此前收窄范围及已有验收；本计划不重验其历史模型运行，也不把原型能力倒填到旧报告。
T0016,P0,JPG/PNG 与数学试卷回归,PRIOR_ACCEPTED_WITH_RECORDED_SCOPE,"[""P2W-S1-01""]",保留此前收窄范围及已有验收；本计划不重验其历史模型运行，也不把原型能力倒填到旧报告。
T0017,P0,旋转、UVDoc、多栏、表格和公式专项能力矩阵,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S3-05"", ""P2W-S3-06"", ""P2W-S3-08"", ""P2W-S3-11"", ""P2W-S3-13""]",按公式/表格/多栏/方向/展平分维度累计；全部维度有证据才可关闭整个原任务。
T0101,P1,PDF 文件预检,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S2-01""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0102,P1,PDFium 页面几何与渲染,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S2-01"", ""P2W-S3-13""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0103,P1,pdf-inspector Adapter,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S2-01""]",S2-01按用户决策接入pdf-inspector 1.20.0负责分类和原生文字，PDFium负责渲染与几何；原Ticket完整验收不自动完成。
T0104,P1,原生文字质量评分,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S2-02""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
T0105,P1,原生文字转 Layout IR,GAP_OR_PROTOTYPE_ONLY_NOT_REACCEPTED,"[""P2W-S2-01""]",现有原型可能覆盖部分行为；必须按原验收项映射证据后才能关闭，不批量DONE。
